id,title,episodes,year,original_channel,im_db,start_year,end_year,new_title
1552,TaleSpin,65,1990-1991,The Disney Channel,7.5,1990,1991,TaleSpin
1553,Talking Friends,10,2012,Disney.com,8.3,2012,NA,Talking Friends
1554,Tarantula,10,2017,TBS,6.8,2017,NA,Tarantula
1555,Tarzan and the Super 7,33,1978-1980,CBS,8.1,1978,1980,Tarzan and the Super 7
1556,"Tarzan, Lord of the Jungle",33,1978-1980,CBS,7.6,1978,1980,"Tarzan, Lord of the Jungle"
1558,Tasty Time with ZeFronk,21,2008-2010,Playhouse Disney,7.2,2008,2010,Tasty Time with ZeFronk
1559,Taz-Mania,65,1991-1995,Fox Kids,6.7,1991,1995,Taz-Mania
1560,Team Umizoomi,78,2010-2015,Nick Jr. Channel,6.1,2010,2015,Team Umizoomi
1561,Teamo Supremo,39,2002-2004,Toon Disney,4,2002,2004,Teamo Supremo
1562,Teacher's Pet,47,2000-2002,ABCToon Disney,5.7,2000,2002,Teacher's Pet
1563,Telecomics,165,1949-1952,NBC,6.9,1949,1952,Telecomics
1564,Teen Titans,65,2003-2006,Cartoon Network,7.9,2003,2006,Teen Titans
1565,Teen Titans Go!,387,2013-present,Cartoon Network,5.5,2013,NA,Teen Titans Go!
1566,Teenage Mutant Ninja Turtles (1987),193,1987-1996,SyndicationCBS,7.9,1987,1996,Teenage Mutant Ninja Turtles
1567,Teenage Mutant Ninja Turtles (2012),124,2012-2017,Nickelodeon,7.9,2012,2017,Teenage Mutant Ninja Turtles
1568,Ten Year Old Tom,20,2021-2023,HBO Max / Max,8.2,2021,2023,Ten Year Old Tom
1569,Tender Touches,15,2017-2020,Adult Swim,6.3,2017,2020,Tender Touches
1570,Tennessee Tuxedo and His Tales,70,1963-1966,CBS,7.6,1963,1966,Tennessee Tuxedo and His Tales
1571,The Tex Avery Show,99,1996-2002,Cartoon Network,6.8,1996,2002,The Tex Avery Show
1572,These Are the Days,16,1974-1975,ABC,7.4,1974,1975,These Are the Days
1573,"This Is America, Charlie Brown",8,1988-1989,CBS,7.4,1988,1989,"This Is America, Charlie Brown"
1574,This Just In!,4,2004,Spike,6.7,2004,NA,This Just In!
1575,Thomas Edison's Secret Lab,24,2015-2016,PBS Kids,6.8,2015,2016,Thomas Edison's Secret Lab
1576,Thundarr the Barbarian,21,1980-1981,ABC,7.5,1980,1981,Thundarr the Barbarian
1577,ThunderCats (1985),130,1985-1989,Syndication,7.9,1985,1989,ThunderCats
1578,ThunderCats Roar,26,2020,Cartoon Network,2.2,2020,NA,ThunderCats Roar
1579,The Tick,36,1994-1996,Fox Kids,7.4,1994,1996,The Tick
1580,Tig n' Seek,80,2020-2022,MaxCartoon Network,6.7,2020,2022,Tig n' Seek
1581,TigerSharks,20,1987,Syndication,6.8,1987,NA,TigerSharks
1582,Tigtone,20,2019-2022,Adult Swim,7.1,2019,2022,Tigtone
1583,Time Squad,26,2001-2003,Cartoon Network,7.5,2001,2003,Time Squad
1584,Timon & Pumbaa,85,1995-1999,CBS,7,1995,1999,Timon & Pumbaa
1585,The Tiny Chef Show,26,2022-present,Nickelodeon,6.7,2022,NA,The Tiny Chef Show
1586,Tiny Toon Adventures,98,1990-1995,SyndicationFox Kids,7.5,1990,1995,Tiny Toon Adventures
