id,title,episodes,year,original_channel,im_db,start_year,end_year,new_title
1,2 Stupid Dogs,26,1993-1995,TBS,7.2,1993,1995,2 Stupid Dogs
2,3-2-1 Penguins!,27,2000-2008,Direct to video,6.5,2000,2008,3-2-1 Penguins!
3,3-South,13,2002-2003,MTV,8,2002,2003,3-South
4,3Below: Tales of Arcadia,28,2018-2019,Netflix,7.6,2018,2019,3Below: Tales of Arcadia
5,3rd & Bird,51,2008-2010,Playhouse Disney,7.8,2008,2010,3rd & Bird
6,The 7D,44,2014-2016,Disney XD,5.7,2014,2016,The 7D
7,12 oz. Mouse,31,2005-2020,Adult Swim,6.5,2005,2020,12 oz. Mouse
8,The 13 Ghosts of Scooby-Doo,13,1985,ABC,7.3,1985,NA,The 13 Ghosts of Scooby-Doo
9,101 Dalmatians: The Series,65,1997-1998,ABCSyndication,6.1,1997,1998,101 Dalmatians: The Series
10,Aaahh!!! Real Monsters,52,1994-1997,Nickelodeon,7.2,1994,1997,Aaahh!!! Real Monsters
11,Abby's Flying Fairy School,26,2009-2012,PBS Kids,4.9,2009,2012,Abby's Flying Fairy School
12,ABC Galaxy,26,2015,BabyFirst,4.2,2015,NA,ABC Galaxy
13,The ABC Saturday Superstar Movie,20,1972-1973,ABC,7.8,1972,1973,The ABC Saturday Superstar Movie
14,The Abbott and Costello Cartoon Show,39,1967-1968,Syndication,7,1967,1968,The Abbott and Costello Cartoon Show
15,Abominable and the Invisible City,20,2022-2023,HuluPeacock,6.4,2022,2023,Abominable and the Invisible City
16,Action League Now!,12,2001-2002,Nickelodeon,8,2001,2002,Action League Now!
17,Action Man (1995),26,1995-1996,Syndication,5.8,1995,1996,Action Man
18,"Ada Twist, Scientist",41,2021-present,Netflix,6.5,2021,NA,"Ada Twist, Scientist"
19,The Addams Family (1973),16,1973,NBC,6.6,1973,NA,The Addams Family
20,The Addams Family (1992),21,1992-1993,ABC,7,1992,1993,The Addams Family
21,ADHD Shorts,6,2013-2015,Fox,4.2,2013,2015,ADHD Shorts
22,Adventure Time,283,2010-2018,Cartoon Network,8.6,2010,2018,Adventure Time
23,Adventure Time: Distant Lands,4,2020-2021,HBO Max,8.7,2020,2021,Adventure Time: Distant Lands
24,Adventure Time: Fionna and Cake,2,2023-present,Max,8.9,2023,NA,Adventure Time: Fionna and Cake
25,Adventures from the Book of Virtues,39,1996-2000,PBSPBS Kids,7,1996,2000,Adventures from the Book of Virtues
26,The Adventures of Batman,17,1968-1969,CBS,7.3,1968,1969,The Adventures of Batman
27,The Adventures of Chico and Guapo,5,2006,MTV2,5.9,2006,NA,The Adventures of Chico and Guapo
28,The Adventures of Edward the Less,13,2001,Sci-Fi Channel,6.4,2001,NA,The Adventures of Edward the Less
29,The Adventures of Gulliver,17,1968-1969,ABC,7,1968,1969,The Adventures of Gulliver
30,The Adventures of Hyperman,13,1995-1996,CBS,7,1995,1996,The Adventures of Hyperman
31,The Adventures of Jimmy Neutron: Boy Genius,61,2002-2006,Nickelodeon,6.7,2002,2006,The Adventures of Jimmy Neutron: Boy Genius
32,The Adventures of Kid Danger,13,2018,Nickelodeon,2.6,2018,NA,The Adventures of Kid Danger
33,Adventures in Nutrition with Captain Carlos,20,2004-2005,Playhouse Disney,5.2,2004,2005,Adventures in Nutrition with Captain Carlos
34,The Adventures of OG Sherlock Kush,20,2015-2016,FXX,7.5,2015,2016,The Adventures of OG Sherlock Kush
35,The Adventures of Paddy the Pelican,6,1950,ABC,1.6,1950,NA,The Adventures of Paddy the Pelican
36,Adventures of Pow Wow,45,1956-1957,Syndication,4.7,1956,1957,Adventures of Pow Wow
37,The Adventures of Puss in Boots,78,2015-2018,Netflix,6.5,2015,2018,The Adventures of Puss in Boots
38,The Adventures of Raggedy Ann and Andy,13,1988,CBS,7.2,1988,NA,The Adventures of Raggedy Ann and Andy
39,The Adventures of Rocky and Bullwinkle,26,2018-2019,Amazon Prime Video,4.3,2018,2019,The Adventures of Rocky and Bullwinkle
40,The Adventures of Rocky and Bullwinkle and Friends,163,1959-1964,ABCNBC,7.8,1959,1964,The Adventures of Rocky and Bullwinkle and Friends
41,Adventures of Sonic the Hedgehog,65,1992-1996,Syndication,6.3,1992,1996,Adventures of Sonic the Hedgehog
42,The Adventures of Spunky and Tadpole,150,1958-1961,Syndication,6.2,1958,1961,The Adventures of Spunky and Tadpole
43,The Adventures of Superboy,34,1966-1968,CBS,6,1966,1968,The Adventures of Superboy
44,Adventures of the Gummi Bears,65,1985-1991,NBC,7.5,1985,1991,Adventures of the Gummi Bears
45,AEon Flux,16,1991-1995,MTV,5.4,1991,1995,AEon Flux
46,Agent Elvis,10,2023,Netflix,6.8,2023,NA,Agent Elvis
47,Alabama Jackson,7,2022,YouTube,8.4,2022,NA,Alabama Jackson
48,Aladdin,86,1994-1995,CBS,5.8,1994,1995,Aladdin
49,ALF Tales,21,1988-1989,NBC,6.2,1988,1989,ALF Tales
50,ALF: The Animated Series,26,1987-1989,NBC,6,1987,1989,ALF: The Animated Series
51,Alice's Wonderland Bakery,34,2022-present,Disney Junior,6.3,2022,NA,Alice's Wonderland Bakery
52,Alien: Isolation - The Digital Series,7,2019,IGN,6.2,2019,NA,Alien: Isolation - The Digital Series
53,Alien News Desk,12,2019,Syfy,6.5,2019,NA,Alien News Desk
54,All Dogs Go to Heaven: The Series,40,1996-1998,Fox Family Channel,6.5,1996,1998,All Dogs Go to Heaven: The Series
55,All Grown Up!,55,2003-2008,Nickelodeon,5.5,2003,2008,All Grown Up!
56,All Hail King Julien,78,2014-2017,Netflix,7.1,2014,2017,All Hail King Julien
57,The All New Popeye Hour,336,1978-1983,CBS,7,1978,1983,The All New Popeye Hour
58,The All-New Dennis the Menace,13,1993,CBS,6.6,1993,NA,The All-New Dennis the Menace
59,The All-New Super Friends Hour,15,1977-1978,ANC,7.2,1977,1978,The All-New Super Friends Hour
60,Allen Gregory,7,2011,Fox,4.2,2011,NA,Allen Gregory
61,Alvin and the Chipmunks (1983),102,1983-1990,NBC,6.6,1983,1990,Alvin and the Chipmunks
62,The Alvin Show,26,1961-1962,Syndication,7.2,1961,1962,The Alvin Show
63,The Amazing Chan and the Chan Clan,16,1972,CBS,6.2,1972,NA,The Amazing Chan and the Chan Clan
64,American Dad!,352,2005-present,Fox (2005-2014)TBS (2014-present),7.4,2005,NA,American Dad!
65,American Dragon: Jake Long,52,2005-2007,Disney Channel,6.6,2005,2007,American Dragon: Jake Long
66,American Heroes & Legends,9,1992-1993,Showtime,4.2,1992,1993,American Heroes & Legends
67,Amphibia,58,2019-2022,Disney Channel,8.3,2019,2022,Amphibia
68,The Angry Beavers,62,1997-2001,Nickelodeon,7.2,1997,2001,The Angry Beavers
69,Animals,30,2016-2018,HBO,7.3,2016,2018,Animals
70,Animaniacs (1993),99,1993-1998,Fox Kids (1993-1995)Kids' WB (1995-1998),7.9,1993,1998,Animaniacs
71,Animaniacs (2020),36,2020-2023,Hulu,7.7,2020,2023,Animaniacs
72,Ant-Man,6,2017,Disney XD,6.4,2017,NA,Ant-Man
73,Apollo Gauntlet,6,2017,Adult Swim,6.6,2017,NA,Apollo Gauntlet
74,Apple & Onion,76,2018-2021,Cartoon Network,6.3,2018,2021,Apple & Onion
75,Aqua Teen Hunger Force,139,2000-present,Adult Swim,7.7,2000,NA,Aqua Teen Hunger Force
76,Aquadonk Side Pieces,10,2022,YouTube,8.1,2022,NA,Aquadonk Side Pieces
77,Aquaman,36,1967-1970,CBS,6.6,1967,1970,Aquaman
78,Aquaman: King of Atlantis,3,2021,HBO Max,6.2,2021,NA,Aquaman: King of Atlantis
79,Arabian Knights,18,1968-1969,NBC,7.1,1968,1969,Arabian Knights
80,Archer,145,2009-2023,FX (2009-2016)FXX (2017-2023),8.6,2009,2023,Archer
81,Archibald's Next Big Thing,50,2019-2021,NetflixPeacock,7.6,2019,2021,Archibald's Next Big Thing
82,The Archie Show,17,1968-1969,CBS,6.9,1968,1969,The Archie Show
83,Archie's TV Funnies,16,1971-1973,CBS,7.7,1971,1973,Archie's TV Funnies
84,Ask the StoryBots,22,2016-2019,Netflix,8.5,2016,2019,Ask the StoryBots
85,Assy McGee,20,2006-2008,Adult Swim,5.8,2006,2008,Assy McGee
86,Astroblast!,52,2014-2015,Sprout,6.7,2014,2015,Astroblast!
87,The Astronut Show,19,1965-1967,Syndication,7.9,1965,1967,The Astronut Show
88,Attack of the Killer Tomatoes,21,1990-1991,Fox Children's Network,4.6,1990,1991,Attack of the Killer Tomatoes
89,Atom Ant,26,1965-1968,NBC,6.4,1965,1968,Atom Ant
90,The Atom Ant/Secret Squirrel Show,26,1965-1967,NBC,6.9,1965,1967,The Atom Ant/Secret Squirrel Show
91,Augie Doggie and Doggie Daddy,45,1959-1962,Syndication,6.3,1959,1962,Augie Doggie and Doggie Daddy
92,Auto-B-Good,63,2005-2006,Syndication,7.9,2005,2006,Auto-B-Good
93,Avatar: The Last Airbender,61,2005-2008,Nickelodeon,9.3,2005,2008,Avatar: The Last Airbender
94,Avengers Assemble,127,2013-2019,Disney XD,7,2013,2019,Avengers Assemble
95,The Avengers: Earth's Mightiest Heroes,52,2010-2011,Disney XD,8.3,2010,2011,The Avengers: Earth's Mightiest Heroes
96,The Awesomes,30,2013-2015,Hulu,7.3,2013,2015,The Awesomes
97,Axe Cop,22,2013-2015,FoxFXX,7.3,2013,2015,Axe Cop
98,Ace Ventura: Pet Detective,41,1995-2000,CBSNickelodeon,6.9,1995,2000,Ace Ventura: Pet Detective
99,Action Man (2000),26,2000-2001,Fox Kids,6.4,2000,2001,Action Man
100,Action Pack,17,2022,Netflix,6.2,2022,NA,Action Pack
101,Adventure Beast,12,2021,Netflix,5.4,2021,NA,Adventure Beast
102,The Adventures of Chuck and Friends,39,2010-2012,The Hub,5.4,2010,2012,The Adventures of Chuck and Friends
103,The Adventures of Don Coyote and Sancho Panda,26,1990-1991,Syndication,7.2,1990,1991,The Adventures of Don Coyote and Sancho Panda
104,The Adventures of Napkin Man!,60,2013-2017,CBC Kids,7.9,2013,2017,The Adventures of Napkin Man!
105,The Adventures of Sam & Max: Freelance Police,13,1997-1998,Fox Kids,7.7,1997,1998,The Adventures of Sam & Max: Freelance Police
106,The Adventures of Super Mario Bros. 3,13,1990,NBC,7,1990,NA,The Adventures of Super Mario Bros. 3
107,Alien Racers,26,2005-2006,Fox,6.9,2005,2006,Alien Racers
108,Alienators: Evolution Continues,26,2001-2002,Fox Kids,5.4,2001,2002,Alienators: Evolution Continues
109,Alma's Way,40,2021-present,PBS Kids,8.1,2021,NA,Alma's Way
110,Alvin and the Chipmunks (2015),130,2015-2023,Nickelodeon,4.5,2015,2023,Alvin and the Chipmunks
111,The Amazing Colossal Adventures of WordGirl,26,2006-2007,PBS Kids Go!,7.1,2006,2007,The Amazing Colossal Adventures of WordGirl
112,The Amazing World of Gumball,240,2011-present,Cartoon Network,8.3,2011,NA,The Amazing World of Gumball
114,Angela Anaconda,65,1999-2001,Fox Kids,4.6,1999,2001,Angela Anaconda
115,Angelina Ballerina: The Next Steps,40,2009-2010,PBS Kids,4.7,2009,2010,Angelina Ballerina: The Next Steps
116,Angry Birds: Summer Madness,36,2022,Netflix,5.9,2022,NA,Angry Birds: Summer Madness
117,Animalia,40,2007-2008,PBS Kids Go!,6.1,2007,2008,Animalia
118,Arcane,9,2021-present,Netflix,9,2021,NA,Arcane
119,Archie's Weird Mysteries,40,1999-2000,Pax,7.3,1999,2000,Archie's Weird Mysteries
120,Around the World in Eighty Days,16,1972-1973,NBC,6.9,1972,1973,Around the World in Eighty Days
121,Arthur,253,1996-2022,PBS Kids,7.4,1996,2022,Arthur
122,As Told by Ginger,52,2000-2006,Nickelodeon,6.9,2000,2006,As Told by Ginger
123,The Avengers: United They Stand,13,1999-2000,Fox Kids Network,5.3,1999,2000,The Avengers: United They Stand
124,Babble Pop!,72,2021-present,Peacock,2.6,2021,NA,Babble Pop!
125,Baby Blues,13,2000-2002,The WB,7,2000,2002,Baby Blues
126,The Baby Huey Show,26,1994-1995,Syndication,7.2,1994,1995,The Baby Huey Show
127,Baby Looney Tunes,53,2001-2006,Kids' WB (season 1)Cartoon Network (season 2),6.1,2001,2006,Baby Looney Tunes
128,Baggy Pants and the Nitwits,13,1977,NBC,7.2,1977,NA,Baggy Pants and the Nitwits
129,Bailey's Comets,32,1973-1974,CBS,6.8,1973,1974,Bailey's Comets
130,Ballmastrz: 9009,20,2018-2020,Adult Swim,6.7,2018,2020,Ballmastrz: 9009
131,Baman Piderman,27,2009-present,YouTube,8.2,2009,NA,Baman Piderman
132,The Banana Splits,36,1968-1970,NBC,7.3,1968,1970,The Banana Splits
134,The Barkleys,13,1972,NBC,5.6,1972,NA,The Barkleys
135,Batfink,100,1966-1967,Syndication,7.1,1966,1967,Batfink
136,The Batman,65,2004-2008,Kids' WB,7.4,2004,2008,The Batman
137,Batman Beyond,52,1999-2001,Kids' WB,8.1,1999,2001,Batman Beyond
138,The Batman/Superman Hour,34,1968-1969,CBS,6.9,1968,1969,The Batman/Superman Hour
139,The Batman/Tarzan Adventure Hour,52,1977-1978,CBS,6.8,1977,1978,The Batman/Tarzan Adventure Hour
140,Batman: The Animated Series,85,1992-1995,Fox Kids,9,1992,1995,Batman: The Animated Series
141,Batman: The Brave and the Bold,65,2008-2011,Cartoon Network,7.3,2008,2011,Batman: The Brave and the Bold
142,Battle Kitty,9,2022,Netflix,6.3,2022,NA,Battle Kitty
143,BattleTech: The Animated Series,13,1994,Syndication,6.5,1994,NA,BattleTech: The Animated Series
144,Batwheels,27,2022-present,Cartoonito,6.3,2022,NA,Batwheels
145,Baymax!,6,2022,Disney+,7.2,2022,NA,Baymax!
146,The Beagles,36,1966-1967,CBS,6.2,1966,1967,The Beagles
147,"The BeatBuds, Let's Jam!",10,2021,Nickelodeon,6.9,2021,NA,"The BeatBuds, Let's Jam!"
148,Beavis and Butt-Head,270,1993-present,MTVParamount+,8.5,1993,NA,Beavis and Butt-Head
149,Beethoven,13,1994,CBS,5.2,1994,NA,Beethoven
150,Ben 10 (2005),52,2005-2008,Cartoon Network,7.5,2005,2008,Ben 10
151,Ben 10 (2016),178,2017-2021,Cartoon Network,2.8,2017,2021,Ben 10
152,Ben 10: Alien Force,46,2008-2010,Cartoon Network,7.4,2008,2010,Ben 10: Alien Force
153,Ben 10: Omniverse,80,2012-2014,Cartoon Network,6.3,2012,2014,Ben 10: Omniverse
154,Ben 10: Ultimate Alien,52,2010-2012,Cartoon Network,7.7,2010,2012,Ben 10: Ultimate Alien
155,Bert and Ernie's Great Adventures,52,2008-2010,PBS Kids,8.5,2008,2010,Bert and Ernie's Great Adventures
156,Betsy's Kindergarten Adventures,26,2008,PBS Kids,5.8,2008,NA,Betsy's Kindergarten Adventures
157,Between the Lions,130,2000-2010,PBS Kids,7.1,2000,2010,Between the Lions
158,Bibleman (revival series),26,2016-2020,Direct-to-Video,2.8,2016,2020,Bibleman (revival series)
159,Big Baby,7,2008,Cartoon Network,6.6,2008,NA,Big Baby
160,Big Bag,39,1996-1998,Cartoon Network,7,1996,1998,Big Bag
161,Big City Greens,80,2018-present,Disney Channel,7.5,2018,NA,Big City Greens
162,Big Guy and Rusty the Boy Robot,26,1999-2001,Fox Kids,7.6,1999,2001,Big Guy and Rusty the Boy Robot
163,Big Hero 6: The Series,56,2017-2021,Disney Channel,7.2,2017,2021,Big Hero 6: The Series
164,Big Mouth,61,2017-present,Netflix,7.8,2017,NA,Big Mouth
165,Big Nate,36,2022-present,Paramount+,7,2022,NA,Big Nate
166,The Big World of Little Adam,110,1964,Syndication,5.2,1964,NA,The Big World of Little Adam
167,Biker Mice from Mars (1993),65,1993-1996,Syndication,7,1993,1996,Biker Mice from Mars
168,Biker Mice from Mars (2006),28,2006-2007,4Kids TV,6.3,2006,2007,Biker Mice from Mars
169,Birdgirl,12,2021-2022,Adult Swim,6,2021,2022,Birdgirl
170,Birdman and the Galaxy Trio,20,1967-1968,NBC,6.7,1967,1968,Birdman and the Galaxy Trio
171,The Biskitts,26,1983-1984,CBS,7,1983,1984,The Biskitts
172,Black Dynamite,20,2012-2015,Adult Swim,7.4,2012,2015,Black Dynamite
173,Black Panther,6,2010,BET,7.2,2010,NA,Black Panther
174,Blast-Off Buzzard,13,1977,NBC,5.2,1977,NA,Blast-Off Buzzard
175,Bless the Harts,34,2019-2021,Fox,5.8,2019,2021,Bless the Harts
176,Blood of Zeus,8,2020,Netflix,7.5,2020,NA,Blood of Zeus
177,Bloop & Loop,50,2007,BabyFirstTV,4.2,2007,NA,Bloop & Loop
178,Blue's Clues,143,1996-2006,Nickelodeon,6.9,1996,2006,Blue's Clues
179,Bob's Burgers,260,2011-present,Fox,8.2,2011,NA,Bob's Burgers
180,The Bob Clampett Show,26,2000-2001,Cartoon Network,8.1,2000,2001,The Bob Clampett Show
181,BoJack Horseman,77,2014-2020,Netflix,8.8,2014,2020,BoJack Horseman
182,Bonkers,65,1993-1994,The Disney Channel,6.7,1993,1994,Bonkers
183,The Boondocks,55,2005-2014,Adult Swim,8.5,2005,2014,The Boondocks
184,Bordertown,13,2016,Fox,7.5,2016,NA,Bordertown
185,The Boss Baby: Back in Business,49,2018-2020,Netflix,6.5,2018,2020,The Boss Baby: Back in Business
186,The Boss Baby: Back in the Crib,28,2022-2023,Netflix,6.1,2022,2023,The Boss Baby: Back in the Crib
187,Bossy Bear,17,2023-present,Nick Jr.,8.3,2023,NA,Bossy Bear
188,The Boys Presents: Diabolical,8,2022,Amazon Prime Video,6.9,2022,NA,The Boys Presents: Diabolical
189,Bozo: The World's Most Famous Clown,157,1958-1962,Syndication,7.8,1958,1962,Bozo: The World's Most Famous Clown
190,Braingames,6,1983-1985,HBO,8.5,1983,1985,Braingames
191,Brad Neely's Harg Nallin' Sclopio Peepio,10,2016,Adult Swim,6.2,2016,NA,Brad Neely's Harg Nallin' Sclopio Peepio
192,The Brady Kids,22,1972-1973,ABC,5.6,1972,1973,The Brady Kids
193,The Brak Show,28,2000-2003,Adult Swim,7.1,2000,2003,The Brak Show
194,Brandy & Mr. Whiskers,39,2004-2006,Disney Channel,6.3,2004,2006,Brandy & Mr. Whiskers
195,Brats of the Lost Nebula,39,1998-1999,Kids' WB,6.9,1998,1999,Brats of the Lost Nebula
196,Bratz,40,2005-2008,Fox (4Kids TV),3.7,2005,2008,Bratz
197,BraveStarr,65,1987-1988,Syndication,7,1987,1988,BraveStarr
198,The Bremen Avenue Experience,5,2008,Cartoon Network,8.8,2008,NA,The Bremen Avenue Experience
199,Breezly and Sneezly,23,1964-1965,Syndication,6.2,1964,1965,Breezly and Sneezly
200,Brickleberry,36,2012-2015,Comedy Central,7.3,2012,2015,Brickleberry
201,Britannica's Tales Around the World,6,1991-1993,Direct to video,1.9,1991,1993,Britannica's Tales Around the World
202,Bucky and Pepito,36,1959-1960,Syndication,2.8,1959,1960,Bucky and Pepito
203,Bucky O'Hare and the Toad Wars!,13,1991,Syndication,7.3,1991,NA,Bucky O'Hare and the Toad Wars!
204,Buddy Thunderstruck,12,2017,Netflix,7.8,2017,NA,Buddy Thunderstruck
205,The Bug Diaries,12,2019-2020,Amazon Prime Video,6,2019,2020,The Bug Diaries
206,Bugs Bunny Builders,30,2022-present,Cartoonito,8.1,2022,NA,Bugs Bunny Builders
207,The Bugs Bunny Show,684,1960-2000,"ABC
CBS",8.6,1960,2000,The Bugs Bunny Show
208,Bugs 'n' Daffy,130,1995-1996,Kids' WB,8.1,1995,1996,Bugs 'n' Daffy
209,Bugtime Adventures,13,2004-2007,TBN,6.5,2004,2007,Bugtime Adventures
210,Bump in the Night,26,1994-1995,ABC,8,1994,1995,Bump in the Night
211,Bunnicula,104,2016-2018,Cartoon NetworkBoomerang,7.2,2016,2018,Bunnicula
212,Butch Cassidy and the Sundance Kids,13,1973,NBC,7.1,1973,NA,Butch Cassidy and the Sundance Kids
213,Buzz Lightyear of Star Command,62,2000-2001,UPNABC,6.7,2000,2001,Buzz Lightyear of Star Command
214,The Buzz on Maggie,20,2005-2006,Disney Channel,5.6,2005,2006,The Buzz on Maggie
215,Baby Shark's Big Show!,52,2020-present,Nickelodeon,3.1,2020,NA,Baby Shark's Big Show!
216,Back at the Barnyard,52,2007-2011,Nickelodeon,8.7,2007,2011,Back at the Barnyard
217,Back to the Future,26,1991-1992,CBS,6.4,1991,1992,Back to the Future
218,The Backyardigans,130,2004-2013,Nickelodeon,7.1,2004,2013,The Backyardigans
219,Bad Dog,40,1998-2000,Fox Family,5,1998,2000,Bad Dog
220,Barbie Dreamhouse Adventures,52,2018-2020,Netflix,6.7,2018,2020,Barbie Dreamhouse Adventures
221,Barbie: It Takes Two,26,2022-present,Netflix,6.8,2022,NA,Barbie: It Takes Two
222,Barbie: Life in the Dreamhouse,75,2012-2018,YouTube,7.5,2012,2018,Barbie: Life in the Dreamhouse
223,Barnyard Commandos,4,1990,Syndication,7.5,1990,NA,Barnyard Commandos
224,Battle of the Planets,85,1978-1980,Syndication,7.5,1978,1980,Battle of the Planets
225,Beast Machines: Transformers,26,1999-2000,Fox Kids,6.7,1999,2000,Beast Machines: Transformers
226,Beast Wars: Transformers,52,1996-1999,Syndication,8.1,1996,1999,Beast Wars: Transformers
228,Bee and PuppyCat: Lazy in Space,16,2022,Netflix,8.5,2022,NA,Bee and PuppyCat: Lazy in Space
229,Beetlejuice,94,1989-1991,ABC,7.5,1989,1991,Beetlejuice
230,The Berenstain Bears,52,1985-1987,CBS,6.9,1985,1987,The Berenstain Bears
231,Beverly Hills Teens,65,1987,Syndication,6.5,1987,NA,Beverly Hills Teens
232,Bigfoot Presents: Meteor and the Mighty Monster Trucks,26,2006-2008,Discovery Kids,5.5,2006,2008,Bigfoot Presents: Meteor and the Mighty Monster Trucks
233,Bill & Ted's Excellent Adventures,21,1990-1991,CBS,6.9,1990,1991,Bill & Ted's Excellent Adventures
234,Bionic Six,85,1987,Syndication,7.3,1987,NA,Bionic Six
235,Blade Runner: Black Lotus,13,2021-2022,Adult Swim,6.3,2021,2022,Blade Runner: Black Lotus
236,Blackstar,13,1981,CBS,6.7,1981,NA,Blackstar
237,Blaster's Universe,13,1999-2000,CBS,7.4,1999,2000,Blaster's Universe
238,Blaze and the Monster Machines,125,2014-present,Nickelodeon,5.7,2014,NA,Blaze and the Monster Machines
239,Blazing Team: Masters of Yo Kwon Do,42,2015-2017,Discovery Family,6.9,2015,2017,Blazing Team: Masters of Yo Kwon Do
240,Blippi Wonders,28,2021-present,YouTube,4.7,2021,NA,Blippi Wonders
241,Blue Eye Samurai,8,2023-present,Netflix,8.8,2023,NA,Blue Eye Samurai
242,Blue's Clues & You!,69,2019-present,Nickelodeon,6.8,2019,NA,Blue's Clues & You!
243,"Bob the Builder: Ready, Steady, Build!",44,2010-2011,PBS Kids,5.6,2010,2011,"Bob the Builder: Ready, Steady, Build!"
244,Bobby's World,81,1990-1998,Fox Kids,7.2,1990,1998,Bobby's World
245,Bounty Hunters,13,2013,CMT,2,2013,NA,Bounty Hunters
246,Boy Girl Dog Cat Mouse Cheese,104,2019-present,CBBC,6.3,2019,NA,Boy Girl Dog Cat Mouse Cheese
247,The Bravest Knight,13,2019,Hulu,6.9,2019,NA,The Bravest Knight
248,Bravest Warriors,82,2012-2018,YouTubeVRV,8.1,2012,2018,Bravest Warriors
249,Breadwinners,52,2014-2016,Nickelodeon,2.8,2014,2016,Breadwinners
250,The Brothers Flub,26,1999,Nickelodeon,4,1999,NA,The Brothers Flub
251,The Brothers Grunt,42,1994-1995,MTV,3,1994,1995,The Brothers Grunt
252,Bubble Guppies,125,2011-present,Nickelodeon,6.3,2011,NA,Bubble Guppies
253,A Bunch of Munsch,7,1991-1992,Showtime,7.3,1991,1992,A Bunch of Munsch
254,Bunsen Is a Beast,26,2017-2018,Nickelodeon,4,2017,2018,Bunsen Is a Beast
255,Butt-Ugly Martians,26,2001-2003,Nickelodeon,3.4,2001,2003,Butt-Ugly Martians
256,Butterbean's Cafe,60,2018-2020,Nickelodeon,6.6,2018,2020,Butterbean's Cafe
257,Cake,47,2019-2021,FXX,6.5,2019,2021,Cake
258,The California Raisin Show,13,1989,CBS,6.1,1989,NA,The California Raisin Show
260,Calling Cat-22,5,2008,Cartoon Network,7.1,2008,NA,Calling Cat-22
261,Calvin and the Colonel,26,"1961-1962, 1964-1965",ABC,6.6,1961,1962,Calvin and the Colonel
262,Camp Camp,60,2016-present,YouTube,8,2016,NA,Camp Camp
263,Camp Lazlo,61,2005-2008,Cartoon Network,6.4,2005,2008,Camp Lazlo
264,Camp WWE,10,2016-2018,WWE Network,6.4,2016,2018,Camp WWE
265,Can You Teach My Alligator Manners?,20,2008-2010,Playhouse Disney,7.8,2008,2010,Can You Teach My Alligator Manners?
266,Capitol Critters,13,1992-1996,CBS,6.5,1992,1996,Capitol Critters
267,Capt'n Sailorbird,190,1959-1960,Syndication,5.4,1959,1960,Capt'n Sailorbird
268,Captain Caveman and the Teen Angels,20,1978-1979,ABC,6.4,1978,1979,Captain Caveman and the Teen Angels
269,Captain Fall,10,2023,Netflix,7,2023,NA,Captain Fall
270,Captain Planet and the Planeteers,113,1990-1996,TBS,6.7,1990,1996,Captain Planet and the Planeteers
271,Captain Simian & the Space Monkeys,26,1996-1997,Syndication,7.6,1996,1997,Captain Simian & the Space Monkeys
272,Capt'n Sailorbird,190,1959,Syndication,4.2,1959,NA,Capt'n Sailorbird
273,Care Bears & Cousins,12,2015-2016,Netflix,6.9,2015,2016,Care Bears & Cousins
274,Care Bears: Adventures in Care-a-lot,26,2007-2008,CBS,5.5,2007,2008,Care Bears: Adventures in Care-a-lot
275,Care Bears: Welcome to Care-a-Lot,26,2012,The Hub,5.4,2012,NA,Care Bears: Welcome to Care-a-Lot
276,Cars on the Road,9,2022,Disney+,6.9,2022,NA,Cars on the Road
277,Cars Toons,15,2008-2014,Disney Channel,6.8,2008,2014,Cars Toons
278,Cartoon Alley,47,2004-2007,Turner Classic Movies,8.1,2004,2007,Cartoon Alley
279,Cartoon Planet,146,"1995-1998, 2012-2014",TBSCartoon Network,8.5,1995,1998,Cartoon Planet
280,The Casagrandes,70,2019-2022,Nickelodeon,5.8,2019,2022,The Casagrandes
281,Casper and the Angels,13,1979,NBC,5.7,1979,NA,Casper and the Angels
282,Castlevania,32,2017-2021,Netflix,8.3,2017,2021,Castlevania
283,Castlevania: Nocturne,8,2023-present,Netflix,7.4,2023,NA,Castlevania: Nocturne
285,CatDog,68,1998-2005,Nickelodeon,6.5,1998,2005,CatDog
286,Catscratch,20,2005-2007,Nickelodeon,6.7,2005,2007,Catscratch
288,Cattanooga Cats,17,1969-1971,ABC,7.2,1969,1971,Cattanooga Cats
289,Cave Kids,8,1996,Syndication,7.7,1996,NA,Cave Kids
290,CB Bears,13,1977,NBC,5.7,1977,NA,CB Bears
291,Centaurworld,18,2021,Netflix,7.7,2021,NA,Centaurworld
292,Central Park,39,2020-2022,Apple TV+,6.9,2020,2022,Central Park
293,Centurions,65,1986,Syndication,7.6,1986,NA,Centurions
294,Ceasar and Chuy,26,2007,LATV,4.6,2007,NA,Ceasar and Chuy
295,ChalkZone,40,2002-2008,Nickelodeon,6.5,2002,2008,ChalkZone
296,Challenge of the GoBots,65,1984-1985,Syndication,6.3,1984,1985,Challenge of the GoBots
297,Challenge of the Superfriends,16,1978,ABC,7.2,1978,NA,Challenge of the Superfriends
298,Channel Umptee-3,13,1997-1998,Kids' WB,6.8,1997,1998,Channel Umptee-3
299,The Charlie Brown and Snoopy Show,18,1983-1985,CBS,7.4,1983,1985,The Charlie Brown and Snoopy Show
301,Chibiverse,4,2022-present,Disney Channel,6.4,2022,NA,Chibiverse
302,The Chica Show,51,2012-2015,Sprout,6.4,2012,2015,The Chica Show
